大图编码,小图编码,版本,名称,中国区获得方法,国际服获得方法,说明
068709.tex,004709.tex,3.3,小矮兔,「水城 宝物库」稀有掉落（第七层）,,可爱的小型兔子。曾在小村庄里过着幸福的生活，然而有一天，它在田里偷作物的父亲被农妇做成了馅饼。为了治愈心中的伤痛踏上流浪之旅后与冒险者相遇。
068710.tex,004710.tex,3.35,百目,"通关副本「死者の宫殿」3次
用3个低保找NPC换取",,从百目妖身上脱落下来的眼球。因为以前每个角度都能看到，所以现在只能看到一个方向的状态让它很不安。于是决定在长出足够的眼球之前和强者一起行动。
068711.tex,004711.tex,3.38,道士莫古力娃娃,2017年春节活动,无,身着东方风格服饰的魔法人偶。是桃源老师的侍从艳丽为了赠送给冒险者而私下亲手缝制的。在艾欧泽亚备受欢迎的莫古力形象基础上，添加了东方风格的道士着装。
068713.tex,004713.tex,3.55b,天马幼兽,"空贼黄铜通货x50
伊修加德砥柱层（X:14.7 Y:10.9）兑换
或
[云冠群岛]中完成FATE[给我一双翅膀]随机掉落",,天马的幼兽。与父母不小心走散，在到处都是可怕古代猛兽的云冠群岛四下奔逃。遭遇古代猛兽袭击的时候被冒险者救下，之后便一直跟着冒险者。
068714.tex,004714.tex,3.4,迷你命名威,,实体特典,模仿传说中的浪人制作的魔法人偶。听说是住在月亮上的古怪民族的幸存者，似乎在旅行中一遇到人就给对方起外号。手里的册子记录着起过外号的人的名字。
068715.tex,004715.tex,3.4,迷你亚历山大,天动篇4层一定几率掉落，天动篇零式4层必掉落,,青蓝之手为了学习机神城的构造研发的教学用缩小型实验机。因为所有看到机器的人都会惊讶地喊出“原来脚在那里啊！”，所以可以说它非常有教学价值。然而动起来的样子还是让人觉得有点恐怖。
068716.tex,004716.tex,3.4,疣猪小子,副本「险峻峡谷 塞尔法特尔溪谷」稀有掉落,,狂野疣猪的幼崽。原本居住在塞尔法特尔溪谷地区，为了修行，它下定决心跟在冒险者身后开始旅行。将来似乎想成为出色的“猪武者”，一直在练习“横冲直撞”。突进力已然不输大猪。
068717.tex,004717.tex,3.4,新型迷你桑克瑞德,库洛的奇谈书-一定几率出现,,模仿桑克瑞德制作的魔法人偶。经过了在龙堡参天高地的那段野外生活，变得更加充满野性魅力。与自由脑窟穴的骨颌族交易得来的装备穿起来也十分合适。好搭档是食果花鼠！
068718.tex,004718.tex,3.4,新型迷你阿莉塞,库洛的奇谈书-一定几率出现,,模仿阿莉塞制作的魔法人偶。是塔塔露为了迎接将来某一天阿莉塞的归来而偷偷制作的。似乎是在考虑给阿莉塞制作什么样的衣服时，拿手边的人偶练习而制作出来的。制作成本低是最大的优点。
068719.tex,004719.tex,3.4,迷你艾达,死者宫殿51-200层「铁/银/金饰宝藏」一定几率出,,以漆黑的艾达为原型制造的魔法人偶。传说是某位咒术师为祭奠过去的伙伴而制作的。每过一段时间拿出来看总觉得她的头发比以前更长了，嗯，这一定是错觉。
068720.tex,004720.tex,3.5,迷你尤娜,2017年8月19日中国区FanFest线上观摩券特典宠物,2016年12月FanFest，购买东京观看权-特典宠物,模仿古代英雄尤娜制作的魔法人偶。听说，身为数量极其稀少的召唤士一员的她，为了给世界带来和平而踏上了旅途。穿着带有东方风韵的衣服显得十分美丽。我已经决定不再迷惘了。
068721.tex,004721.tex,3.4,迷你琉克,,2016年10月FanFest，购买拉斯维加斯观看权-特典宠物,模仿古代英雄琉克制作的魔法人偶。听说，她为了保护某位召唤士而以护卫的身份与其同行。人偶会突然做出投掷什么东西的动作，正是再现了她的样子。我热血沸腾起来了！
068722.tex,004722.tex,3.4,迷你露露,,2016年12月FanFest，购买东京观看权-特典宠物,模仿古代英雄露露制作的魔法人偶。为了精巧再现她身为优秀黑魔法师同时又善于使用人偶的特点，制作者给她配上了更小号的人偶。真不愧是职业工匠的手艺。要我帮你突破极限吗？
068723.tex,004723.tex,未知,天使之翼,,,由一个因兴趣开始制作宠物的炼金术师的执念而诞生的魔法物品。“为了让本就像天使的拉拉菲尔族更像天使……”，这是他临终前的最后一句话。
068724.tex,004724.tex,3.4,迷你穆恩布瑞达,3.4主线「灵魂继承者」完成后获得,,模仿穆恩布瑞达制作的魔法人偶。于里昂热为了整理自己在失去后才察觉到的感情而自己偷偷制作的。人偶的表情如此温柔，一定模仿的是那个人看向他时的面容吧。
068725.tex,004725.tex,3.4,大陆小眼,2017年「守護天節」奖励,2016年「守護天節」奖励,冥鬼之眼的幼体。虽然是从虚无界召唤来的妖异，但是因为太弱，立刻就被猎人抓住了。后来被卖给了大陆马戏团，身世悲惨。
068726.tex,004726.tex,3.5,斗牛小犬,副本「坚牢铁壁 巴埃萨长城」稀有掉落,,在帝国东方堡作为军犬而被饲养的斗牛小犬。因为性格太过温和友善，被认定为不适合成为军犬。听说斗牛犬本来是为了让人欣赏和魔物搏斗的姿态而被培育出来的犬种，原本极其凶猛彪悍。
068727.tex,004727.tex,3.5,复活小天使,2018年「情人节」奖励,2017年「情人节」奖励,为人带来爱与治愈的天使玩偶。据有些接受过复活魔法的人说，他们在半昏迷之中看到过背后长着小翅膀的小孩子在身边飞来飞去，有心人士便以此制作出了这种玩偶。但有关于这些小孩子是否真的存在还是个疑问。
068728.tex,004728.tex,3.5,迷你埃斯蒂尼安,库洛的奇谈书-一定几率出现,,模仿苍天之龙骑士埃斯蒂尼安制作的魔法人偶。听说，制作者之间曾经为了该用蓝色还是红色，甚至是粉色涂装而争吵不休。最后他们决定用龙骑士挑战邪龙前的造型制作。
068729.tex,004729.tex,3.55a,迷你赫拉斯瓦尔格,,实体特典,模仿七大天龙之一的圣龙赫拉斯瓦尔格制作的魔法人偶。相传圣龙和圣女超越种族的爱创造了人龙融合的契机，因此这个制作出来的圣龙眼中也充满着温柔。
068730.tex,004730.tex,3.5,吉吉,完成事件屋支线「理想的每一天」后获得,,萨雷安的大魔法师阿饱创造的魔法人偶，原名比比。人偶里封印着时魔法。为了救冒险者和希尔迪布兰德而用尽力量，现在为了积蓄魔力而陷入休眠中……
068731.tex,004731.tex,3.5,人造元灵,完成270魂武任务「研究结束」后获得,,阿尔达希尔用旧的魂石给人造元灵制造了新的身体。为了让冒险者在不装备元灵武器的时候也能和人造元灵一起冒险。
068732.tex,004732.tex,3.5,迷你斯卡哈,副本「影之国」稀有掉落,,模仿影之女王斯卡哈制作的魔法人偶，作者不详。人偶的脚底用艾欧泽亚现代语而非古玛哈语写着“献给我的挚爱”。从人偶异常精致的造型中可以感受到一种近乎偏执的爱。
068733.tex,004733.tex,3.5,迷你尼德霍格,,实体特典,模仿七大天龙之一的邪龙尼德霍格制作的魔法人偶。尼德霍格带领龙族和伊修加德进行了长达千年的龙诗战争，就算被制作成了人偶也依然保持着威严。是迷你埃斯蒂尼安的好对手。
068734.tex,004734.tex,3.55a,地狱小犬,完成成就[如探囊取物3],,魔兽地狱犬的幼兽。不愧是在虚无界严酷的优胜劣汰中活下来的生物，虽然个头尚小，但目光却十分锐利。一般很厌恶与人亲热，但只要认定了搭档，就会忠实地跟随着对方。
068735.tex,004735.tex,3.55a,妖精小犬,完成成就[左膀右臂3],,魔兽妖精犬的幼兽。由于要不断与虚无界的魔兽们争夺地盘，所以尽管年幼，却全身充满杀气。极其自傲且喜爱孤独，但只要认定了主人，就会忠心耿耿。
068736.tex,004736.tex,3.5,迷你奥尔·迪,"要求莫古力族声望到达：誓约
贩卖价格：30000金币",,模仿幼龙奥尔·迪制作的魔法人偶。是莫古力族的工匠莫古京为了对奥尔·迪进行恶作剧而制作出来的。精美的制作体现出了工匠的手艺。
068737.tex,004737.tex,3.5,发条月亮,西拉诺西亚：幻影群岛(X12，Y36)，魔法罐用高级圣灵药进行交换,,可以用“戳指”来调整其高度的发光灯。能够很好地掩饰小皱纹的发条太阳在贵妇之中大为流行。炼金术士行会立马又着手制作了色调偏冷一些的发条月亮，可以让贵妇们的皮肤看上去更加白皙透亮。
068738.tex,004738.tex,4.x,巧儿海陆行鸟,"渔师:太阳海岸(x38,y28)用梭子鰆以小钓大",,能够横渡大海的陆行鸟之子。自己虽然打死也不肯承认，但其实真的不会游泳。某个热心人为了防止它溺水给它戴上了救生圈，但它却得意忘形地跑到了海上，最后只能在海里漂泊。为了得救，不顾一切地咬住了某个东西，事后才发现那原来是钓钩。
068739.tex,004739.tex,4.x,迷你巴兹,,购买4.0典藏版,以古代英雄“巴兹”为原型制作的魔法人偶，甚至连他的搭档陆行鸟“波可”都完美再现了。一起随风而行，自由自在地踏上冒险之旅吧。真是太有趣了！
068740.tex,004740.tex,4.x,迷你赤魔法师,,预购4.0典藏版,以古代英雄为原型制作的魔法人偶。根据传说，这是一位既会白魔法又会黑魔法，既能攻也能守的万能战士。但是也有一种截然相反的评价，说其无论攻守都是半调子。
068741.tex,004741.tex,4.x,獭獭,采矿仆人：山岳G20,,离开河流的水獭之子。虽然无法说话，但智力极高，还能使用工具。因此，据说在东方地域，有的达官贵人会训练这种动物，让它们成为自己的仆从。
068742.tex,004742.tex,4.x,小妖狐,「杀生石碎片」3个兑换,,千年妖狐之子。只不过，这只才出生没多久，并不像其父母那样具有魔力，也不能变化成人。这就表示它只是一只普通的狐狸吧。
068743.tex,004743.tex,4.x,虎斑次郎,兵团徽章800点兑换,,非常可爱的黄色虎斑小猫。在险些成为恶名精英盘中餐的时候被老练的怪物猎人救了下来。为它取名的猎人说，哪怕只把它自己救出来也好。太郎在哪呢？
068744.tex,004744.tex,4.x,龙之孙,"渔师:红玉海(x36,y6)刺鱼/ 鱼影",,龙之子的幼体。面对突如其来的鱼叉，它虽然想要躲闪，但却条件反射地把尾巴缠了上去，最终还是被捉到了，真是可怜。不过在大海之外的世界中却出人意料地受欢迎，现在依然生气勃勃。
068745.tex,004745.tex,4.x,刺球球,副本「海底宫殿 紫水宫」掉落,,刺球爆弹怪的幼体。因为一感觉到危机就会膨胀，再加上油脂丰富极易燃烧等特点很像生活在西方的传说中的妖异“爆弹怪”，所以就被人们取了这样的名字。但其实并不是爆弹怪的一种。
068746.tex,004746.tex,4.x,分福,战斗仆人：平地G20,,雇员得到的茶釜。真实身份好像是一只貉狸幼兽，因为跟别人比试变化的能力，结果变不回原形了。雇员觉得它可怜，想让它暂时先跟着身手高强的冒险者一起修行，所以就把它带回来了。
068747.tex,004747.tex,4.x,旅雀儿,副本「试炼行路 巴儿达木霸道」掉落,,在巴儿达木霸道遇到的家麻雀。原本是生活在延夏农村的，但却厌倦了整日只吃田里害虫的生活，所以想出去冒险。在旅途中遇到了胡鹰，为了变得像人家一样强，就模仿起了胡鹰的幼鸟。
068748.tex,004748.tex,4.05,迷你莉瑟,2018年「新生祭」奖励,2017年「新生祭」奖励,由拂晓的资金管理人、心灵手巧的裁缝塔塔露精心制作的魔法人偶。再现了阿拉米格美丽的民族服饰。虽然外表看上去像舞女，但绝不是舞女。
068749.tex,004749.tex,4.x,新型迷你夕雾,副本「恶党孤城 黄金阁」掉落,,模仿夕雾的外形所制作的魔法人偶。据说是烈士庵的某位人偶师在冒险者携带的人偶的启发下制作出来的。原本是为了纪念多玛解放而投入生产，后来却被人献给了黄金港奉行……
068750.tex,004750.tex,4.05,迷你豪雪,2018年「新生祭」奖励,2017年「新生祭」奖励,模仿豪雪的外形所制作的魔法人偶。再现了东洲奥萨德次大陆边境国多玛的武士大将威风凛凛的姿态。作为被人传颂的剑豪，人偶的腰间也挂着他的爱刀左文字的模型。
068751.tex,004751.tex,,迷你夜露,实体特典,,模仿夜露的外形制作的魔法人偶。似乎是某个雕金匠按照东方传来的美人画制作的。面容妖艳的她据说曾经是多玛红极一时的艺伎。
068752.tex,004752.tex,4.x,迷你格林瓦特,副本「鏖战红莲 阿拉米格」掉落,,模仿格林瓦特的外形所制作的魔法人偶。据说是为了确认与魔导装置的融合手术顺序而制作的模型。到处都记有用帝国公共语写下的注意事项。是足以印证帝国军残忍无情的物证之一。
068753.tex,004753.tex,4.05,迷你鲶鱼精,「运河宝物库」一定几率掉落,,以鲶鱼精为原型制作的魔法人偶。由远东之国的人偶师们制作，很久以前就在黄金港被人们当成土特产贩卖。据说在近东的萨维奈曾经红极一时。
068754.tex,004754.tex,4.x,伊沃恩玩偶,副本「修行古刹 星导寺」掉落,,以双豹伊沃恩为原型制作的魔法人偶……照理说是这样，但它却会动。调查之后并没有在内部发现类似机关之类的构造，但它还是会动。看来只能当它是被什么附身了。
068755.tex,004755.tex,4.x,迷你奇美拉,裁衣匠Lv70，1★配方,,以妖异玩偶奇美拉为原形制作的奇形怪状的魔法人偶。“居然有人能设计出品味这么差的人偶”，说到这里突然想到人偶的作者是谁，于是不禁咽下了后半句话。这就是所谓的大人吧。
068756.tex,004756.tex,4.x,迷你食肉者,兵团徽章800点兑换,,某个著名的怪物猎人在将袭击自己的卢恩族山贼打倒的时候得到的战利品。好像是山贼头子发给手下们的东西。身上那件有些可怕的山贼风格衣服正是魅力所在。
068757.tex,004757.tex,4.x,魔导复仇者追踪型,副本「巨炮要塞 帝国白山堡」掉落,,帝国军为了训练而制作的魔导复仇者缩小版模型。通常用于指导操纵同机种无人机的部队指挥官，传授这台机械的特性与有效的使用方法。另外，在帝国之中也被当作玩具贩卖。
068758.tex,004758.tex,4.x,吉多,副本「漂流海域 妖歌海」掉落,,在妖歌海遇到的老龟。传说它已经活了700多年，拥有强大的魔力，可以在空中飞行。不知为何，一看到蓝色甲胄就会异常激动，原因不得而知。
068759.tex,004759.tex,4.01,迷你艾克斯迪司,欧米茄4层一定几率掉落，欧米茄零式4层必掉落,,从德尔塔幻境中回收的神秘魔法人偶。在某部古典小说中有一个与主人公为敌的反派角色艾克斯迪司，这个人偶似乎就是以他为原型制作出来的。因为他身穿蓝色甲胄，看上去很像骑士，但其真实身份却是一名暗黑魔法师。
068760.tex,004760.tex,4.x,迷你库洛,库洛的奇谈书-一定几率出现,,模仿库洛·阿里亚珀的外形所制作的魔法人偶。某天，罗薇娜商会专聘的工匠将它塞进库洛手里后，一言不发地转身离开了。库洛则转头就将它扔进了大人物云集的奖励列表当中。
068761.tex,004761.tex,4.x,须佐之男之形,Lv60 裁衣制作「裁缝秘籍第四卷」,,以豪神须佐之男为原形制作的魔法人偶。左手拿八咫镜，右手执天之丛云，体内还有八尺琼勾玉的缩小版模型。据说沉迷东方文化的人们在私下里对这个人偶格外关注。
068762.tex,004762.tex,4.x,吉祥天女之形,Lv60 裁衣制作「裁缝秘籍第四卷」,,以美神吉祥天女为原形制作的魔法人偶。某位奇迹生还的雕金匠为了重现那份究极的美而制作的，但却让看到的诗人提出了很多缺点。经历了各种曲折后，最终才公开重新调整后的设计图。
068763.tex,004763.tex,4.x,俾斯麦之形,Lv60 裁衣制作「裁缝秘籍第三卷」,,以云神俾斯麦为原形制作的魔法人偶。俾斯麦餐厅的老板听说了召唤云神的传言，为了见一见传说中的云神，于是便拜托裁衣匠行会制作了这个魔法人偶。总觉得做出来的成品看上去很好吃。
068764.tex,004764.tex,4.1,迷你飞燕,库洛的奇谈书-一定几率出现,,以多玛君主飞燕为原型制作魔法人偶。在帝国的暴政之下，多玛的人偶师们原本是无法制作清房那种武装机关人偶的，但他们却偷偷地制作了这个，来表示自己内心的反抗。不胜感激！
068765.tex,004765.tex,4.1,罗波那之形,裁衣匠Lv60,,以武神罗波那为原型制作的魔法人偶。是自诩为历史学家的骨颌族为了将武神与英雄之间的战役流传千古，委托雕金匠行会制作的。它完美重现了武神以武为荣、以勇为耀的雄猛身姿。看你们能否撑住这一击！
068766.tex,004766.tex,4.1,甲人玩偶,"要求甲人族声望到达：信赖
贩卖价格：30000金币",,以付丧神附身的古代人偶“付丧”为原型制作的魔法玩偶。为了区分真正的付丧，碧甲族便将其涂成了跟自己一样的绿色。目前正计划把它当成特产，在黄金港大量出售。
068767.tex,004767.tex,4.1,豆豆柴,采矿仆人：山岳G22,,有些无良奸商将即便成年体型也依然小巧的柴犬起名为“豆豆柴”来贩卖，但事实上并不存在“豆豆柴”这种狗，如果有人饲养它们，体型一定就会变大。为了不让买家把狗养大后来找他们算帐，所以他们通常都是卖完就跑。
068768.tex,004768.tex,4.1,天狗玩偶,战斗仆人：平地G20,,以天狗为原型制作的玩偶。明明就是个普通的玩偶却能活蹦乱跳的，一定是天狗捣的鬼。不仅如此，明明拿到了五个魔晶石孔的极品武具，武具却不知道在什么时候变成了天狗玩偶，这也一定是天狗捣的鬼。
068769.tex,004769.tex,4.1,象魔人偶,「运河宝物库深层」一定几率掉落,,在运河深层发现的以象魔族为原型制作的魔法人偶。原本人偶身上是穿着奢华衣物的，但却被偷盗宝石的盗贼拿走了，因此现在呈全裸的模样。怪不得看上去有点害羞呢。
068771.tex,004771.tex,4.1,小树袋熊,园艺仆人：森林G22,,树袋熊的幼兽。前来采伐的雇员不小心砍到了它栖息的树木，于是被它紧紧抱住，只好带着它踏上了冒险之旅。尽管它长得很可爱，但想要威胁别人的时候却会发出非常可怕的叫声。不能被它的外表迷惑！
068772.tex,004772.tex,4.1,椒盐海豹,沉没神殿 斯卡拉遗迹,,海豹的幼兽，不知道经历了什么误入了盐湖。因为是在盐湖发现的，所以人们给它在名字里加个“盐”字，后来又不知道什么时候传成了“椒盐”……其实原本是生活在大海里的动物。
068773.tex,004773.tex,4.1,六角小螈螈,钓鱼仆人：水岸G22,,与小钝口螈相似的神秘两栖动物。钓上来的雇员说自己也不知道这到底是什么动物，就根据外形起了个名叫六角小螈螈。谁也不知道这只生物是从哪来的，而且不知道为什么，那个雇员也坚决不肯说出自己是在哪里把它钓上来的。
068774.tex,004774.tex,4.1,伊克西翁玩偶,伊克西翁的雷角5个，神拳痕(X:13.8 Y:11.8)艾西娜兑换,,以基拉巴尼亚地区传说中的古代幻兽伊克西翁为原型制作的魔法人偶。据说是当地居民为了让冒险者们勇敢地前去讨伐危险的伊克西翁而共同出资制作出来的。请大家务必都去参加……
068775.tex,004775.tex,4.1,神龙玩偶,裁衣匠Lv70，2★配方,,以神龙为原型制作的魔法玩偶。设计这个玩偶的人似乎是想重现神龙从封印中现身的一幕，但不知为何玩偶却是从宝箱中现身的。关于这个问题，设计者的回答是“原本不就是这样的吗？”，他究竟误会了什么……
068776.tex,004776.tex,4.1,新型迷你劳班,3.4主线「英雄归来」完成后获得,,由艾欧泽亚同盟军的工兵部队制作的以劳班为原型的魔法人偶。尽管对外宣称它的制作是用来纪念阿拉米格解放的，但据说真实的制作初衷却是为了向初期的军事作战计划失败一事致歉。真是非常抱歉！
068777.tex,004777.tex,4.2,阿难陀玩偶,阿难陀族 魔金锡币7枚 兑换,,阿露帕国境警备队的原工兵制作的具有阿难陀族外形的魔法玩偶。原型似乎是刚蜕完皮鳞片闪闪发亮的萨利夏。听说冒险者们的报酬就是靠卖这种玩偶赚来的。
068778.tex,004778.tex,4.2,迷你莫艾石像,制作「锻冶秘籍第六卷」,,用溺没海发掘出的巨像石片制作的迷你莫艾石像。其原型是世界各地发掘出的充满谜团的石像——莫艾石像。据说是在制作过程中突然动了起来。另外，虽然看起来它张着嘴似乎能发射光圈的样子，但实际上不能。
068779.tex,004779.tex,4.2,白鼬,副本「红玉火山 狱之盖」掉落,,毛皮像雪一样洁白的鼬。由于憧憬着在故乡森林撞见的瑞兽“镰鼬”，而跟随它潜入狱之盖想让它收自己为弟子。偶然碰上了冒险者和镰鼬战斗的场面，决定跟随更强的师父。
068780.tex,004780.tex,4.2,小丑预言蛋,2019年「彩蛋节」奖励,,为了感谢冒险者帮忙解决了彩蛋被盗事件，成功开展彩蛋狩猎，吉莉·阿里亚珀送给冒险者这颗特别的装饰彩蛋。里面装着以第六灵灾时活跃的十二贤者之一——拉德克利夫为原型制作的魔法人偶。
068781.tex,004781.tex,4.2,迷你凯夫卡,通关欧米茄时空狭缝 西格玛幻境4 或 欧米茄零式时空狭缝 西格玛幻境4,,在西格玛幻境发现的魔法人偶。其原型的小丑凯夫卡到底是虚构还是现实人物尚不明。拂晓血盟贤人雅·修特拉看到这个人偶后表示似乎在哪里见到过……
068782.tex,004782.tex,4.3,マメット?マグナイ,裁衣匠Lv70，秘籍第六卷配方,,オロニル族の長兄、マグナイを模した魔法人形。伴侶を見つけることができない長兄を慮った弟たちが、男マグナイを売り込むために製法を考案し、公開したようだ。持ち味である武力を誇示するように、戦斧が付属している
068783.tex,004783.tex,4.2,舞海月,地下工房 潜水艇「E海域 溺没海03」「G海域 アンブレラ海峡」,,粘在派遣到溺没海的潜水艇上的水母幼体。在长途航海中从人偶驾驶员那里听说了冒险者的故事，决定和冒险者一起旅行。其漂浮的姿态十分治愈人心。
068784.tex,004784.tex,4.2,白小虎,制作「裁缝秘籍第六卷」,,模仿白色小老虎而不是白虎制作出的魔法人偶。在远东之国，人们认为看到白色老虎的人会获得幸运。所以这种玩偶被当做吉祥物而受到珍重。
068785.tex,004785.tex,4.25,マメット?ファヴニル,优雷卡「アネモス帯のロックボックス」一定几率开出,,バルデシオン委員会の研究員が製作した魔法人形。ドラゴン型妖異「ファヴニル」の姿を模して作られている。なぜ名剣を持った姿で作られているのかは不明。製作者は「確率は低いが持っているもの」と語り、譲らないが……
068786.tex,004786.tex,4.25,マメット?ミスラ,优雷卡「アネモス帯のロックボックス」一定几率开出,,バルデシオン委員会の研究員が製作した魔法人形。「ミコッテ族」の想像上の祖先を再現したものらしい。古代の文献に登場する「スコピオハーネス」なる装備を着せている点に、製作者の異様なコダワリを感じる
068787.tex,004787.tex,4.25,プリンス?オブ?アネモス,优雷卡「アネモス帯のロックボックス」一定几率开出 或 「NMロード?オブ?アネモス直ドロ」一定几率掉落,,ロード?オブ?アネモスの血を引く若き王子。なぜか、懐に片手棍（クラブ）を忍ばせており、気にくわないことがあると二刀流で振り回し、複数回攻撃をしかけてくる。しかし、幼生体のため力が弱く、大したダメージは出ない
068788.tex,004788.tex,4.2,狛犬,成就点数兑换,,以东方幻兽狛犬为原型制作的魔法人偶。神社之类神圣的地方有安置一对石狮子镇守的传统，据说可以辟邪。这个玩偶看到自己的同类也会不自觉地和它相对而坐。
068789.tex,004789.tex,4.2,金鲶,「运河宝物库深层」一定几率掉落,,全身金光闪闪的鲶鱼精魔法玩偶。据说是远东之国的人偶师制作的出口给近东地区的吉祥物。由于使用了莳绘的技术给全身上了一层金粉，拿着它总觉得会提升财运。
068794.tex,004794.tex,4.3,祭ナマズオ,ナマズオ小判：7个兑换,,ナマズオを模した魔法人形。大鯰大祭の開催資金を捻出するために、職人ギョシンが夜なべをして作ったものらしい。精巧なねじり鉢巻とハッピは、裁縫が得意なギョレイの手によるもの。縁起物として人気のようだ
068795.tex,004795.tex,4.3,クラミドサウルス,,,ミラージュプリズムが大好きで、冒険者についてきたトカゲ。普段は樹上で過ごしているが、エサを求めるときには地上に降りて、後ろ足だけで疾走する。また、危険を察知するとエリマキ状の皮膚飾りを広げて威嚇するようだ
068796.tex,004796.tex,4.3,マメット?サドゥ,裁衣匠Lv70，秘籍第六卷配方,,ドタール族の族長、サドゥを模した魔法人形。その美しさに恋心を抱きながらも、燃やし尽くされることを恐れて声に出せない、ドタールの若者たちが製法を考案したらしい。しかし、実際に作り切るだけの勇気はなかったようだ
068797.tex,004797.tex,4.3,マメット?シリナ,,,モル族の少女、シリナを模した魔法人形。アウラ?ゼラの遊牧民たちが常用する伝統的な衣装も、細部の刺繍に至るまでしっかりと再現されている。アジムステップの文化を感じさせる品として、新生祭で配布された
068798.tex,004798.tex,4.3,マメット?シロ,天书奇谈2连奖励,,シロ?アリアポーを模した魔法人形。孤児院を運営するために奮闘する彼女を、そっと見守っていたロウェナ商会お抱えの職人が作ったもの。それを無言で受け取り、そっと、ご褒美のラインナップに加える妹クロであった
068799.tex,004799.tex,4.3,マメット?ツクヨミ,实体特典,,夜神ツクヨミを模した魔法人形。複雑な経緯を経て、帝国軍に強制徴募され、なぜか捕虜交換の対象となった彫金師が、即興で作り上げた品らしい。自由の喜びがそうさせたのか、異様な愛情を以て美しく仕上げられている
068800.tex,004800.tex,4.3,クロックワークランタン,1500狼印战绩兑换,,カラクリ仕掛けの自走ランタン。冒険者たちの熱烈な要望に応える形で、彫金師ギルドと錬金術ギルドが共同開発した。魔法人形の技術を応用した自走機構と、錬金術による魅惑の光源により、どこでも光を届ける
068801.tex,004801.tex,4.35,セイテンショウセイ,,,瑞獣セイテンタイセイが神通力で作り出した幻影体。若き頃、いたずら好きの猿だったセイテンタイセイは、特別な力を得てからも、他者を欺く技を得意とした。神通力で編んだ雲に乗り、自在に空を駆け巡る
068802.tex,004802.tex,4.3,労働八号,「封じられた聖塔：リドルアナ」稀有掉落,,機工都市ゴーグにて発掘された労働型鉄巨人。発見されたときには休眠状態だったが、余っていたクリスタルをはめ込んだところ、動き出して追従してくるようになった。聖石を動力源としていないため、危険はないはずだ
